OBJECTID,מקום,הערות,תאריך,שעות שהייה,סוג מיקום,x,y
8914,"בית הכנסת ""מנוחת שלמה"" רחוב קאסוטו 14 בית וגן ירושלים", ,09/03/2020,17:15-17:50,מיקום חולה,35.1877545,31.762021
8915,בית הכנסת - ירושלים,,09/03/2020,17:15 - 18:10,מיקום חולה,35.22471347,31.72190172
8916,בנק מסד רחוב שמאי 16 ירושלים,,09/03/2020,17:20-17:35,מיקום חולה,35.219613,31.781123
8917,"בית כנסת ""משכן שלמה"", רחוב ענבר 17, מודיעין", ,09/03/2020,17:20-17:40,מיקום חולה,34.9953755,31.9053117
8918,"בית הכנסת מנוחת שלמה, רחוב קאסוטו 14, ירושלים", ,09/03/2020,17:30-17:50,מיקום חולה,35.1869875,31.7624682
8919,"מכון לב בגבעת מרדכי, ירושלים", ,09/03/2020,17:30-19:30,מיקום חולה,35.1911197,31.7650471
8920,בית מדרש מכון לב ג. מרדכי - ירושלים,,09/03/2020,17:30 - 19:30,מיקום חולה,35.1911197,31.7650471
8921," בית כנסת ספרדי, עזרת נשים,  ענב", ,09/03/2020,17:45-19:30,מיקום חולה,35.1254167,32.28456983
8922,"קבלת חדרים בלובי מלון דן פנורמה,חיפה",,09/03/2020,18:00-19:00,מיקום חולה,34.98757,32.80663
8923,בית הכנסת אוהל אבנר ברחוב דגניה 40 באור יהודה,,09/03/2020,18:00-19:30,מיקום חולה,34.8623,32.02427
8924,בית הכנסת אוהל אבנר ברחוב דגניה 40 באור יהודה,,09/03/2020,18:00-19:30,מיקום חולה,34.8623,32.02427
8925,"בית הכנסת ""אור החיים"" ברחוב רבי עקיבא 134, בני ברק",,09/03/2020,18:00-20:00,מיקום חולה,34.83628423,32.0855614
8926,"בית הכנסת ""אור החיים"" ברחוב רבי עקיבא 134, בני ברק",,09/03/2020,18:00-20:00,מיקום חולה,34.83628423,32.0855614
8927,"בית הכנסת תפארת נחמן (אולם קטן), רחוב אבן שפרוט 2, בני ברק", ,09/03/2020,18:00-19:30,מיקום חולה,34.8327849,32.0902153
8928,בית כנסת שכונת תמר אפרת,קריאת המגילה,09/03/2020,18:00-20:00,מיקום חולה,35.16416584,31.68029571
8929,בית הכנסת המרכזי בשכונת תמר באפרת,קריאת המגילה,09/03/2020,18:00-19:00,מיקום חולה,35.16417,31.68029
8930,בית כנסת ויזניץ בני ברק  ברחוב תורת חיים, ,09/03/2020,18:00-19:00,מיקום חולה,34.8385763,32.0760735
8931,"ישיבת ""תולדות אהרון"", ירושלים", ,09/03/2020,18:00-18:15,מיקום חולה,35.2250446,31.7856547
8932,"בית הכנסת ""חושן"", רחוב בדולח 12, מודיעין", ,09/03/2020,18:00-19:00,מיקום חולה,34.9946079,31.9036971
8933,מרכז חיסידי ויזניץ' - בני ברק,,09/03/2020,18:00 - 20:30,מיקום חולה,34.8388172,32.0794317
8934,"בית כנסת ""יד אהרון"" קריאת מגילה - ירושלים",,09/03/2020,18:00 - 19:00,מיקום חולה,35.19407193,31.80905752
8935,"חנות ""יפית"" בשכונת גאולה - ירושלים",עיצבה משלוחי מנות,09/03/2020,18:00 - 18:30,מיקום חולה,35.2171929,31.7886028
8936,קניון עזריאלי מודיעין חנות קולומביה,,09/03/2020,18:15-18:45,מיקום חולה,35.0088323,31.8995812
8937,"בית הכנסת ""דרכי אבותינו"" רחוב גורדון 1 קריית יערים",,09/03/2020,18:15-19:15,מיקום חולה,35.1032978,31.8035901
8938,"בית הכנסת ""דרכי אבותינו"" רחוב גורדון 1 קריית יערים",,09/03/2020,18:15-19:15,מיקום חולה,35.1032978,31.8035901
8939,"בית הכנסת ""דרכי אבותינו"" רחוב גורדון 1 קריית יערים",,09/03/2020,18:15-19:15,מיקום חולה,35.1032978,31.8035901
8940,"בית הכנסת ""דרכי אבותינו"" רחוב גורדון 1 קריית יערים", ,09/03/2020,18:15-19:15,מיקום חולה,35.1032978,31.8035901
8941,"בית הכנסת ""דרכי אבותינו"" רחוב גורדון 1 קריית יערים", ,09/03/2020,18:15-19:15,מיקום חולה,35.1032978,31.8035901
8942,"בית הכנסת ""דרכי אבותינו"" רחוב גורדון 1 קריית יערים", ,09/03/2020,18:15-19:15,מיקום חולה,35.1032978,31.8035901
8943,קניון מלחה בירושלים,אזור המזון מהיר ובסופר,09/03/2020,18:30-20:30,מיקום חולה,35.187333,31.751716
8944,"בית הספר אמי""ת בנות, רח' עמק זבולון מודיעין",קריאת מגילה לנשי,09/03/2020,18:30-19:30,מיקום חולה,35.0019175,31.9032971
8945,בית כנסת חבסוב קריית מלאכי, ,09/03/2020,18:30-19:30,מיקום חולה,34.7394107,31.7299507
8946,מסעדת גריל 443,,09/03/2020,18:45-19:30,מיקום חולה,35.0163889,31.9147222
8947,"ארוחת ערב במלון דן פנורמה, חיפה",,09/03/2020,19:00-20:30,מיקום חולה,34.98757,32.80663
8948,"""קולנוע פאר"", רח' ישעיהו 1, תל אביב",חדר כושר,09/03/2020,19:00-20:00,מיקום חולה,34.778684,32.095064
8949,בית הכנסת פאר ששון בחדרה,,09/03/2020,19:00-20:00,מיקום חולה,34.917934,32.429825
8950,בית הכנסת פאר ששון - חדרה,,09/03/2020,19:00 - 20:00,מיקום חולה,34.92754704,32.44544285
8951,בית הכנסת ניסי ניסים - בת ים,,09/03/2020,19:00 - 21:00,מיקום חולה,34.749915,32.0161585
8952,"""כולל אדרת אליהו"", רח' בן יעקב 17, בני ברק",,09/03/2020,19:15-19:40,מיקום חולה,34.8398083,32.0779264
8953,"מסעדת הבוקרים, קיבוץ מירום גולן, רמת הגולן",,09/03/2020,19:30-21:30,מיקום חולה,35.7795795,33.1307642
8954,רחוב דליה 23 בת ים,אימון ג'יו ג'יטצו,09/03/2020,19:30-21:00,מיקום חולה,34.7568866,32.0075853
8955,בית הכנסת המרכזי בעתניאל,קריאת מגילה,09/03/2020,20:00-21:00,מיקום חולה,35.02952783,31.44097986
8956,"אולמי """"סליה"""", רחוב המרכבה 40 חולון", ,09/03/2020,20:00-22:00,מיקום חולה,34.8069406,32.0076666
8957,"מכון הכושר Metro, רחוב עליית הנוער 27 פינת התעש 1, גבעתיים",חוג Station45,09/03/2020,20:15-21:00,מיקום חולה,34.801753,32.074869
8958,מועדון נוער אור ישראלי,,09/03/2020,20:30-23:59,מיקום חולה,35.23781354,32.68153181
8959,מועדון נוער אור ישראלי, ,09/03/2020,20:30-23:59,מיקום חולה,35.23781354,32.68153181
8960,"מועדון נוער ""אור ישראלי"" מגדל העמק",עד יום למחרת,09/03/2020,20:30-02:00,מיקום חולה,35.2417497,32.6778114
8961,"אולם ספורט ""דרכי יהודה"" רח' יהלום 52 מודיעין1", ,09/03/2020,20:30-23:00,מיקום חולה,34.9931828,31.9078573
8962,דיזי פרישדון רח' דיזינגוף 121 תל אביב, ,09/03/2020,20:30-02:00,מיקום חולה,34.7737281,32.0811212
8963,"בית כנסת ""אהבה ואחווה"" פנחס לבון 3 חולון", ,09/03/2020,20:30-21:00,מיקום חולה,34.7705741,32.0094689
8964,"בית ספר ""דרכי יהודה"", רחוב יהלום 52, מודיעין", ,09/03/2020,20:30-23:00,מיקום חולה,34.9931828,31.9078573
8965,מסיבת פורים בחרסינה - קרית ארבע,,09/03/2020,20:30 - 22:30,מיקום חולה,35.115625,31.529326
8966,"בית כנסת ""היכל מרדכי"", רחוב הנשיא יצחק בן צבי 134, הרצליה", ,09/03/2020,20:45-21:45,מיקום חולה,34.8083809,32.1748965
8967,"אולם ""שבע"" רח' הצפירה 21, ת""א",אירוע,09/03/2020,21:00-23:59,מיקום חולה,34.782718,32.060795
